uuid,year,date,party1,party2,candidate1,candidate2,type,channel,url
22a4ad21-38aa-54b9-be18-a7523caddd57,2025,2025-04-07,AD,CDU,,,legislativas,TVI,https://cnnportugal.iol.pt/videos/decisao-25-o-debate-entre-luis-montenegro-e-paulo-raimundo-na-integra/67f43b470cf2ba9f720ebdb8
445a6a09-db33-5819-95ad-fe9d7c8bbd2c,2025,2025-04-07,CH,PAN,,,legislativas,RTP 3,https://cnnportugal.iol.pt/videos/decisao-25-o-debate-entre-ines-de-sousa-real-e-andre-ventura-na-integra/67f452c80cf28cf88767e2e3
fdea3b33-8538-5dc6-a3dc-a9bf8052b4fc,2025,2025-04-08,PS,BE,,,legislativas,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-pedro-nuno-santos-e-mariana-mortagua-na-integra/67f594a30cf216cd3ad348ed
1b66ebd7-6f6c-5f69-9a70-86c6ca463ead,2025,2025-04-08,CH,LIVRE,,,legislativas,RTP 3,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-tavares-e-andre-ventura-na-integra/67f59ce90cf28cf88767e5bf
a5ad794b-1180-5478-8d7f-b926b554e599,2025,2025-04-09,CDU,LIVRE,,,legislativas,SIC Notícias,https://cnnportugal.iol.pt/videos/o-debate-entre-paulo-raimundo-e-rui-tavares-na-integra/67f6bc250cf2ba9f720ec23a
dae214a4-d3bb-5dc8-baaa-f1f7e46162ae,2025,2025-04-10,PS,IL,,,legislativas,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-pedro-nuno-santos-e-rui-rocha-na-integra/67f831320cf2ba9f720ec334
f4899980-9aed-5018-a389-a7fc67343fd6,2025,2025-04-10,BE,PAN,,,legislativas,CNN Portugal,https://cnnportugal.iol.pt/videos/o-debate-entre-mariana-mortagua-e-ines-de-sousa-real-na-integra/67f8405d0cf20ac1d5f303d6
5ff14ec8-eac3-58cc-b2e9-7c01bc746c1d,2025,2025-04-11,AD,LIVRE,,,legislativas,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-nuno-melo-e-isabel-mendes-lopes-na-integra/67f981fa0cf20ac1d5f30490
caa92cc0-7e74-508d-acb6-047d7106b5c3,2025,2025-04-11,IL,CDU,,,legislativas,SIC Notícias,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-rocha-e-paulo-raimundo-na-integra/67f990bd0cf2ba9f720ec3d8
0f346004-647c-54f2-9ca1-8f15276968ea,2025,2025-04-12,PS,PAN,,,legislativas,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-pedro-nuno-santos-e-ines-de-sousa-real-na-integra/67fad2830cf216cd3ad34c60
d81aa92e-fca5-51cb-8465-2be06fe4535d,2025,2025-04-12,BE,CDU,,,legislativas,RTP 3,https://cnnportugal.iol.pt/videos/o-debate-entre-paulo-raimundo-e-mariana-mortagua-na-integra/67fae2ca0cf28cf88767e94c
88bbdcb6-ccea-5026-8ae5-5dbdca42b18b,2025,2025-04-13,AD,PAN,,,legislativas,SIC,https://cnnportugal.iol.pt/videos/ines-sousa-real-contra-nuno-melo-veja-o-debate-na-integra/67fc268a0cf2ba9f720ec4a4
358491e2-941c-5c1b-9cc9-403400ae8470,2025,2025-04-13,IL,LIVRE,,,legislativas,CNN Portugal,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-rocha-e-rui-tavares-na-integra/67fc358f0cf2ba9f720ec4ae
302e192b-5261-56ac-9e07-c6bf5999959d,2025,2025-04-14,AD,IL,,,legislativas,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-rocha-e-luis-montenegro-na-integra/67fd78a50cf28cf88767eabc
e67fa8d1-30cb-5e3c-8651-0decabf5d4ab,2025,2025-04-14,BE,LIVRE,,,legislativas,SIC Notícias,https://cnnportugal.iol.pt/videos/o-debate-entre-mariana-mortagua-e-rui-tavares-na-integra/67fd85ef0cf20ac1d5f3068a
44bcbb86-6efb-5c7f-93ad-f847b5ed4466,2025,2025-04-15,PS,CH,,,legislativas,TVI,https://cnnportugal.iol.pt/videos/pedro-nuno-santos-contra-andre-ventura-veja-o-debate-na-integra/67feca6c0cf20ac1d5f30729
acbee1a1-827b-576a-b1f6-7f7413d54809,2025,2025-04-15,IL,PAN,,,legislativas,SIC Notícias,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-rocha-e-ines-sousa-real-na-integra/67fedac80cf28cf88767eb50
e192361f-be61-536a-b9da-55e402f967e4,2025,2025-04-16,AD,BE,,,legislativas,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-joana-mortagua-e-nuno-melo-na-integra/68001c030cf2ba9f720ec6ff
ac9321e6-39e0-5a5d-a3e3-fe7ea739acfe,2025,2025-04-16,CH,CDU,,,legislativas,CNN Portugal,https://cnnportugal.iol.pt/videos/o-debate-entre-paulo-raimundo-e-andre-ventura-na-integra/680028070cf28cf88767ebd4
81639cef-0547-54e1-b669-1ad27fca48a0,2025,2025-04-17,PS,LIVRE,,,legislativas,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-pedro-nuno-santos-e-rui-tavares-na-integra/68016d380cf28cf88767ed0a
362f9904-7a97-536e-abab-9154f304cf3f,2025,2025-04-17,CH,IL,,,legislativas,RTP 3,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-rocha-e-andre-ventura-na-integra/68017b140cf20ac1d5f30921
a6037244-03bc-54b1-993e-a702a5758471,2025,2025-04-21,PS,CDU,,,legislativas,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-paulo-raimundo-e-pedro-nuno-santos-na-integra/6806b7930cf2ba9f720eca4f
620e8b62-45dd-583d-8fec-1d9ab07a58a3,2025,2025-04-21,CH,BE,,,legislativas,SIC Notícias,https://cnnportugal.iol.pt/videos/o-debate-entre-andre-ventura-e-mariana-mortagua/6806bfd80cf20ac1d5f30b15
16eda869-9f89-5feb-ab36-ee048051b4ae,2025,2025-04-22,LIVRE,PAN,,,legislativas,RTP 3,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-tavares-e-ines-sousa-real-na-integra/6807e0630cf216cd3ad35274
d646da22-443b-5a8a-b4bd-bf007c550382,2025,2025-04-23,CDU,PAN,,,legislativas,CNN Portugal,https://cnnportugal.iol.pt/videos/o-debate-entre-paulo-raimundo-e-ines-de-sousa-real-na-integra/680935090cf216cd3ad3531e
65f8db34-7d60-5bb4-97b5-864109a36dc5,2025,2025-04-24,AD,CH,,,legislativas,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-luis-montenegro-e-andre-ventura-na-integra/680aa8580cf2ba9f720ecc2c
1c3eb852-b1ff-5eb2-aa33-9caba07e8065,2025,2025-04-24,IL,BE,,,legislativas,CNN Portugal,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-rocha-e-mariana-mortagua-na-integra/680ab5ff0cf28cf88767f0cd
5d4d53d8-75e4-5add-becd-560439daff87,2025,2025-04-30,AD,PS,,,legislativas,"simultâneo TVI, CNN Portugal, RTP, SIC",https://cnnportugal.iol.pt/videos/o-debate-entre-luis-montenegro-e-pedro-nuno-santos-na-integra/68129cd60cf28cf88767f45e
4a6065f0-9102-552b-93b8-1c4309005a4d,2025,2025-11-17,,,André Ventura,António José Seguro,presidenciais,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-jose-seguro-e-andre-ventura-na-integra/691b9d930cf255913376141e
ade14a99-e96e-50a4-af95-1802cc4c17de,2025,2025-11-18,,,Luís Marques Mendes,António Filipe,presidenciais,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-filipe-e-marques-mendes-na-integra/691cef630cf25591337614d8
74b43fcd-c6e8-54d4-b920-c4857dc36ccb,2025,2025-11-20,,,Henrique Gouveia e Melo,João Cotrim de Figueiredo,presidenciais,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-cotrim-de-figueiredo-e-gouveia-e-melo-na-integra/691f91ef0cf2559133761655
bf04cc53-3031-5c1e-89d7-8a06b0ed09cd,2025,2025-11-23,,,Catarina Martins,Henrique Gouveia e Melo,presidenciais,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-catarina-martins-e-gouveia-e-melo-na-integra/692387d50cf28fe430486a44
3885d9df-4fbc-514d-a701-21569ed13094,2025,2025-11-24,,,João Cotrim de Figueiredo,Jorge Pinto,presidenciais,RTP,https://cnnportugal.iol.pt/videos/presidenciais-2026-o-debate-entre-jorge-pinto-e-joao-cotrim-de-figueiredo-na-integra/6924d6ed0cf229bd2f8d4da9
9ae563d3-4194-5ef0-b68c-824d36e3c96e,2025,2025-11-25,,,Luís Marques Mendes,André Ventura,presidenciais,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-andre-ventura-e-marques-mendes-na-integra/69262a320cf229bd2f8d4e54
4d2b3b2d-cc19-5510-869d-f98f82da82c9,2025,2025-11-26,,,Jorge Pinto,Henrique Gouveia e Melo,presidenciais,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-jorge-pinto-e-henrique-gouveia-e-melo-na-integra/69277b490cf28fe430486c65
d146301a-d17d-5590-8b91-6f5c0b6c180a,2025,2025-11-28,,,André Ventura,Catarina Martins,presidenciais,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-catarina-martins-e-andre-ventura-na-integra/692a1f300cf28fe430486df5
72bce7a4-7e37-5e42-9dc6-8590c3dc7d61,2025,2025-11-29,,,Jorge Pinto,Luís Marques Mendes,presidenciais,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-marques-mendes-e-jorge-pinto-na-integra/692b70920cf28fe430486eaf
9e1d1a54-6fd2-55e1-b412-7913297a4910,2025,2025-11-30,,,João Cotrim de Figueiredo,António Filipe,presidenciais,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-cotrim-de-figueiredo-e-antonio-filipe-na-integra/692cc3c20cf28fe430486f23
8e418f62-52f4-5fb1-a9af-1cb36276bf5c,2025,2025-12-01,,,António José Seguro,Jorge Pinto,presidenciais,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-jorge-pinto-e-antonio-jose-seguro-na-integra/692e12900cf28fe4304871d4
b1caa985-a886-5e1a-a78a-37006cd17e36,2025,2025-12-02,,,António Filipe,Henrique Gouveia e Melo,presidenciais,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-filipe-e-gouveia-e-melo-na-integra/692f646d0cf229bd2f8d564b
71b2f790-96b1-520a-829e-c652dca4bb45,2025,2025-12-03,,,António José Seguro,Luís Marques Mendes,presidenciais,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-jose-seguro-e-luis-marques-mendes-na-integra/6930b6c10cf255913376224b
64a2543d-83b1-585d-9b63-ce13c20c54a9,2025,2025-12-04,,,Catarina Martins,João Cotrim de Figueiredo,presidenciais,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-catarina-martins-e-joao-cotrim-de-figueiredo-na-integra/693209230cf229bd2f8d5856
e8c492c9-0960-58c6-b39d-5624095d5769,2025,2025-12-06,,,António José Seguro,Catarina Martins,presidenciais,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-catarina-martins-e-antonio-jose-seguro-na-integra/6934a91f0cf28fe430487777
56912c8e-3498-5c97-a66c-f3760a105a60,2025,2025-12-07,,,João Cotrim de Figueiredo,Luís Marques Mendes,presidenciais,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-joao-cotrim-de-figueiredo-e-luis-marques-mendes-na-integra/6935f6ff0cf255913376259e
56912c8e-3498-5c97-a66c-f3760a105a60,2025,2025-12-07,,,João Cotrim de Figueiredo,Luís Marques Mendes,presidenciais,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-joao-cotrim-de-figueiredo-e-luis-marques-mendes-na-integra/6935f6ff0cf255913376259e
1893b4e6-448c-5304-b8af-57729ccff12c,2025,2025-12-08,,,António Filipe,Jorge Pinto,presidenciais,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-filipe-e-jorge-pinto-na-integra/69374a900cf229bd2f8d5b80
9f1c34fc-1a42-502d-b915-f7d10f1e9cd8,2025,2025-12-09,,,Henrique Gouveia e Melo,António José Seguro,presidenciais,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-jose-seguro-e-henrique-gouveia-e-melo-na-integra/69389d320cf2559133762722
b0e1dbde-c90a-5e7a-8b13-8906455a2b3f,2025,2025-12-10,,,Catarina Martins,António Filipe,presidenciais,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-filipe-e-catarina-martins-na-integra/6939f2480cf229bd2f8d5d0d
b038f480-3ae4-50d1-a7f6-4fc06f2c2137,2025,2025-12-11,,,André Ventura,Jorge Pinto,presidenciais,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-andre-ventura-e-jorge-pinto-na-integra/693bc1990cf28fe430487b55
49f2e808-51cd-5cc6-bfc1-ffcc5c25363f,2025,2025-12-12,,,Luís Marques Mendes,Catarina Martins,presidenciais,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-catarina-martins-e-luis-marques-mendes-na-integra/693c9c2a0cf28fe430488145
cf3b4ebb-868a-5d08-b64a-0c2501a59140,2025,2025-12-13,,,André Ventura,António Filipe,presidenciais,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-andre-ventura-e-antonio-filipe-na-integra/693de4080cf229bd2f8d68d2
2053aafe-a8d1-5695-85ad-becde1f23165,2025,2025-12-15,,,Henrique Gouveia e Melo,André Ventura,presidenciais,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-gouveia-e-melo-e-andre-ventura-na-integra/694086020cf25591337634e6
596a2313-2847-5cfb-9c30-08fa27d6ef3e,2025,2025-12-17,,,António José Seguro,João Cotrim de Figueiredo,presidenciais,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-jose-seguro-e-cotrim-de-figueiredo-na-integra/6941f9700cf25591337635bf
a044e3c6-fb2c-57c9-96eb-17a6014967f4,2025,2025-12-19,,,João Cotrim de Figueiredo,André Ventura,presidenciais,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-joao-cotrim-de-figueiredo-e-andre-ventura-na-integra/6945cd570cf229bd2f8d6d31
5905e57f-6394-5a59-b0b9-6169b6dd44fb,2025,2025-12-20,,,António José Seguro,António Filipe,presidenciais,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-filipe-e-antonio-jose-seguro-na-integra/69471fa30cf229bd2f8d6dbb
