candidate1,candidate2,date,channel,url
André Ventura,António José Seguro,2025-11-17,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-jose-seguro-e-andre-ventura-na-integra/691b9d930cf255913376141e
Luís Marques Mendes,António Filipe,2025-11-18,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-filipe-e-marques-mendes-na-integra/691cef630cf25591337614d8
Henrique Gouveia e Melo,João Cotrim de Figueiredo,2025-11-20,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-cotrim-de-figueiredo-e-gouveia-e-melo-na-integra/691f91ef0cf2559133761655
Catarina Martins,Henrique Gouveia e Melo,2025-11-23,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-catarina-martins-e-gouveia-e-melo-na-integra/692387d50cf28fe430486a44
João Cotrim de Figueiredo,Jorge Pinto,2025-11-24,RTP,https://cnnportugal.iol.pt/videos/presidenciais-2026-o-debate-entre-jorge-pinto-e-joao-cotrim-de-figueiredo-na-integra/6924d6ed0cf229bd2f8d4da9
Luís Marques Mendes,André Ventura,2025-11-25,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-andre-ventura-e-marques-mendes-na-integra/69262a320cf229bd2f8d4e54
Jorge Pinto,Henrique Gouveia e Melo,2025-11-26,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-jorge-pinto-e-henrique-gouveia-e-melo-na-integra/69277b490cf28fe430486c65
André Ventura,Catarina Martins,2025-11-28,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-catarina-martins-e-andre-ventura-na-integra/692a1f300cf28fe430486df5
Jorge Pinto,Luís Marques Mendes,2025-11-29,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-marques-mendes-e-jorge-pinto-na-integra/692b70920cf28fe430486eaf
João Cotrim de Figueiredo,António Filipe,2025-11-30,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-cotrim-de-figueiredo-e-antonio-filipe-na-integra/692cc3c20cf28fe430486f23
António José Seguro,Jorge Pinto,2025-12-01,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-jorge-pinto-e-antonio-jose-seguro-na-integra/692e12900cf28fe4304871d4
António Filipe,Henrique Gouveia e Melo,2025-12-02,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-filipe-e-gouveia-e-melo-na-integra/692f646d0cf229bd2f8d564b
António José Seguro,Luís Marques Mendes,2025-12-03,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-jose-seguro-e-luis-marques-mendes-na-integra/6930b6c10cf255913376224b
Catarina Martins,João Cotrim de Figueiredo,2025-12-04,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-catarina-martins-e-joao-cotrim-de-figueiredo-na-integra/693209230cf229bd2f8d5856
António José Seguro,Catarina Martins,2025-12-06,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-catarina-martins-e-antonio-jose-seguro-na-integra/6934a91f0cf28fe430487777
João Cotrim de Figueiredo,Luís Marques Mendes,2025-12-07,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-joao-cotrim-de-figueiredo-e-luis-marques-mendes-na-integra/6935f6ff0cf255913376259e
João Cotrim de Figueiredo,Luís Marques Mendes,2025-12-07,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-joao-cotrim-de-figueiredo-e-luis-marques-mendes-na-integra/6935f6ff0cf255913376259e
António Filipe,Jorge Pinto,2025-12-08,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-filipe-e-jorge-pinto-na-integra/69374a900cf229bd2f8d5b80
Henrique Gouveia e Melo,António José Seguro,2025-12-09,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-jose-seguro-e-henrique-gouveia-e-melo-na-integra/69389d320cf2559133762722
Catarina Martins,António Filipe,2025-12-10,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-filipe-e-catarina-martins-na-integra/6939f2480cf229bd2f8d5d0d
André Ventura,Jorge Pinto,2025-12-11,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-andre-ventura-e-jorge-pinto-na-integra/693bc1990cf28fe430487b55
Luís Marques Mendes,Catarina Martins,2025-12-12,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-catarina-martins-e-luis-marques-mendes-na-integra/693c9c2a0cf28fe430488145
André Ventura,António Filipe,2025-12-13,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-andre-ventura-e-antonio-filipe-na-integra/693de4080cf229bd2f8d68d2
Henrique Gouveia e Melo,André Ventura,2025-12-15,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-gouveia-e-melo-e-andre-ventura-na-integra/694086020cf25591337634e6
António José Seguro,João Cotrim de Figueiredo,2025-12-17,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-jose-seguro-e-cotrim-de-figueiredo-na-integra/6941f9700cf25591337635bf
João Cotrim de Figueiredo,André Ventura,2025-12-19,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-joao-cotrim-de-figueiredo-e-andre-ventura-na-integra/6945cd570cf229bd2f8d6d31
António José Seguro,António Filipe,2025-12-20,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-antonio-filipe-e-antonio-jose-seguro-na-integra/69471fa30cf229bd2f8d6dbb
